Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
ORGANIZATION,60.0,24,2,36,154816,0.9230769230769231,0.4,0.5581395348837209
BIOID,,0,0,0,154878,0.0,0.0,0.0
HEALTHPLAN,,0,0,0,154878,0.0,0.0,0.0
LOCATION-OTHER,8.0,0,0,8,154870,0.0,0.0,0.0
PHONE,121.0,117,3,4,154754,0.975,0.9669421487603306,0.970954356846473
FAX,1.0,0,0,1,154877,0.0,0.0,0.0
HOSPITAL,1145.0,1103,64,42,153669,0.9451585261353899,0.9633187772925764,0.954152249134948
MEDICALRECORD,314.0,313,5,1,154559,0.9842767295597484,0.9968152866242038,0.990506329113924
DEVICE,4.0,0,0,4,154874,0.0,0.0,0.0
URL,,0,0,0,154878,0.0,0.0,0.0
STREET,337.0,331,6,6,154535,0.9821958456973294,0.9821958456973294,0.9821958456973294
ZIP,112.0,112,1,0,154765,0.9911504424778761,1.0,0.9955555555555555
IDNUM,24.0,22,2,2,154852,0.9166666666666666,0.9166666666666666,0.9166666666666666
STATE,149.0,143,8,6,154721,0.9470198675496688,0.959731543624161,0.9533333333333331
CITY,217.0,208,31,9,154630,0.8702928870292888,0.9585253456221198,0.912280701754386
COUNTRY,80.0,61,3,19,154795,0.953125,0.7625,0.8472222222222222
EMAIL,,0,0,0,154878,0.0,0.0,0.0
DATE,2570.0,2543,21,27,152287,0.9918096723868954,0.9894941634241246,0.9906505648617062
PROFESSION,129.0,112,6,17,154743,0.9491525423728814,0.8682170542635659,0.9068825910931175
USERNAME,29.0,27,1,2,154848,0.9642857142857143,0.9310344827586207,0.9473684210526316
O,146766.0,146673,124,93,7988,0.9991552960891571,0.9993663382527288,0.9992608060280076
PATIENT,1066.0,1055,21,11,153791,0.9804832713754646,0.9896810506566605,0.9850606909430439
DOCTOR,1282.0,1252,16,30,153580,0.9873817034700315,0.9765990639625585,0.9819607843137255
AGE,464.0,456,12,8,154402,0.9743589743589743,0.9827586206896551,0.9785407725321887
