Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
LOCATION-OTHER,8.0,0,0,8,154870,0.0,0.0,0.0
EMAIL,,0,0,0,154878,0.0,0.0,0.0
STATE,149.0,146,33,3,154696,0.8156424581005587,0.9798657718120806,0.8902439024390245
IDNUM,24.0,12,2,12,154852,0.8571428571428571,0.5,0.631578947368421
PHONE,121.0,117,8,4,154749,0.936,0.9669421487603306,0.9512195121951219
O,146766.0,146574,155,192,7957,0.9989436307751024,0.9986917951024079,0.9988176970646858
PROFESSION,129.0,112,15,17,154734,0.8818897637795275,0.8682170542635659,0.875
USERNAME,29.0,27,7,2,154842,0.7941176470588235,0.9310344827586207,0.8571428571428571
BIOID,,0,0,0,154878,0.0,0.0,0.0
ORGANIZATION,60.0,21,0,39,154818,1.0,0.35,0.5185185185185185
FAX,1.0,0,0,1,154877,0.0,0.0,0.0
PATIENT,1066.0,1032,23,34,153789,0.9781990521327014,0.9681050656660413,0.973125884016973
STREET,337.0,325,16,12,154525,0.9530791788856305,0.9643916913946587,0.9587020648967551
DOCTOR,1282.0,1249,61,33,153535,0.9534351145038168,0.9742589703588144,0.9637345679012346
DATE,2570.0,2542,33,28,152275,0.9871844660194175,0.9891050583657588,0.9881438289601555
AGE,464.0,458,23,6,154391,0.9521829521829522,0.9870689655172413,0.9693121693121692
CITY,217.0,202,39,15,154622,0.8381742738589212,0.9308755760368663,0.8820960698689957
URL,,0,0,0,154878,0.0,0.0,0.0
DEVICE,4.0,0,0,4,154874,0.0,0.0,0.0
HEALTHPLAN,,0,0,0,154878,0.0,0.0,0.0
MEDICALRECORD,314.0,313,10,1,154554,0.9690402476780186,0.9968152866242038,0.9827315541601256
ZIP,112.0,110,1,2,154765,0.990990990990991,0.9821428571428571,0.9865470852017937
COUNTRY,80.0,7,0,73,154798,1.0,0.0875,0.46091954022988506
HOSPITAL,1145.0,1098,107,47,153626,0.9112033195020747,0.9589519650655022,0.934468085106383
