Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
PHONE,121.0,117,3,4,154754,0.975,0.9669421487603306,0.970954356846473
COUNTRY,80.0,59,7,21,154791,0.8939393939393939,0.7375,0.8082191780821918
EMAIL,,0,0,0,154878,0.0,0.0,0.0
ORGANIZATION,60.0,29,2,31,154816,0.9354838709677419,0.48333333333333334,0.6373626373626374
DEVICE,4.0,0,0,4,154874,0.0,0.0,0.0
O,146766.0,146618,105,148,8007,0.99928436577769,0.9989915920581061,0.999137957470297
FAX,1.0,0,0,1,154877,0.0,0.0,0.0
AGE,464.0,457,17,7,154397,0.9641350210970464,0.9849137931034483,0.9744136460554371
CITY,217.0,208,11,9,154650,0.9497716894977168,0.9585253456221198,0.9541284403669725
ZIP,112.0,112,0,0,154766,1.0,1.0,1.0
USERNAME,29.0,27,6,2,154843,0.8181818181818182,0.9310344827586207,0.8709677419354839
HOSPITAL,1145.0,1105,83,40,153650,0.9301346801346801,0.9650655021834061,0.947278182597514
MEDICALRECORD,314.0,313,7,1,154557,0.978125,0.9968152866242038,0.9873817034700316
PROFESSION,129.0,115,17,14,154732,0.8712121212121212,0.8914728682170543,0.8812260536398466
HEALTHPLAN,,0,0,0,154878,0.0,0.0,0.0
BIOID,,0,0,0,154878,0.0,0.0,0.0
STREET,337.0,332,13,5,154528,0.9623188405797102,0.9851632047477745,0.9736070381231671
PATIENT,1066.0,1049,6,17,153806,0.9943127962085309,0.9840525328330206,0.9891560584629892
LOCATION-OTHER,8.0,0,0,8,154870,0.0,0.0,0.0
DOCTOR,1282.0,1265,34,17,153562,0.9738260200153964,0.9867394695787831,0.9802402169701666
IDNUM,24.0,21,6,3,154848,0.7777777777777778,0.875,0.823529411764706
DATE,2570.0,2545,37,25,152271,0.9856700232378002,0.9902723735408561,0.9879658385093167
URL,,0,0,0,154878,0.0,0.0,0.0
STATE,149.0,142,10,7,154719,0.9342105263157895,0.9530201342281879,0.9435215946843853
