Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
PATIENT,1066.0,1050,11,16,153801,0.9896324222431668,0.9849906191369606,0.9873060648801129
STATE,149.0,147,10,2,154719,0.9363057324840764,0.9865771812080537,0.9607843137254902
MEDICALRECORD,314.0,314,7,0,154557,0.9781931464174455,1.0,0.988976377952756
FAX,1.0,0,0,1,154877,0.0,0.0,0.0
O,146766.0,146648,90,118,8022,0.999386661941692,0.9991959990733549,0.999291321412996
CITY,217.0,208,23,9,154638,0.9004329004329005,0.9585253456221198,0.9285714285714286
ZIP,112.0,112,0,0,154766,1.0,1.0,1.0
USERNAME,29.0,27,3,2,154846,0.9,0.9310344827586207,0.9152542372881356
HEALTHPLAN,,0,0,0,154878,0.0,0.0,0.0
LOCATION-OTHER,8.0,0,0,8,154870,0.0,0.0,0.0
URL,,0,0,0,154878,0.0,0.0,0.0
STREET,337.0,330,6,7,154535,0.9821428571428571,0.9792284866468842,0.9806835066864784
IDNUM,24.0,21,4,3,154850,0.84,0.875,0.8571428571428572
DATE,2570.0,2543,23,27,152285,0.9910366328916602,0.9894941634241246,0.9902647975077882
AGE,464.0,458,17,6,154397,0.9642105263157895,0.9870689655172413,0.9755058572949947
HOSPITAL,1145.0,1110,70,35,153663,0.940677966101695,0.9694323144104804,0.9548387096774195
PROFESSION,129.0,118,5,11,154744,0.959349593495935,0.9147286821705426,0.9365079365079364
ORGANIZATION,60.0,35,5,25,154813,0.875,0.5833333333333334,0.7000000000000001
BIOID,,0,0,0,154878,0.0,0.0,0.0
DEVICE,4.0,0,0,4,154874,0.0,0.0,0.0
EMAIL,,0,0,0,154878,0.0,0.0,0.0
COUNTRY,80.0,61,4,19,154794,0.9384615384615385,0.7625,0.8413793103448275
PHONE,121.0,116,2,5,154755,0.9830508474576272,0.9586776859504132,0.9707112970711298
DOCTOR,1282.0,1266,34,16,153562,0.9738461538461538,0.9875195007800313,0.9806351665375678
